trade_date,Binance_Coin,Bitcoin,Bitcoin_Cash,Bitcoin_SV,Cardano,Chainlink,Crypto_com_Coin,EOS,Ethereum,Huobi_Token,Litecoin,Monero,NEO,Stellar,Tether,Tezos,TRON,UNUS_SED_LEO,USD_Coin,XRP
2020-03-07,-5.214,-2.33,-5.182,-4.423,-4.865,-7.265,-1.399,-4.439,-2.332,-1.899,-3.935,-5.049,-5.911,-4.531,0.157,-5.38,-6.509,0.404,0.257,-2.875
2020-03-08,-15.907,-8.999,-16.508,-15.489,-11.552,-5.76,-9.113,-15.847,-15.623,-8.817,-14.566,-13.86,-12.823,-13.123,1,-13.043,-12.804,2.548,1,-12.725
2020-03-09,-2.357,-2.275,-1.083,0.621,-4.179,-0.734,-3.985,-0.649,0.648,-3.538,-3.016,-1.987,-2.567,2.318,-1.084,-3.077,0.821,-1.306,-0.99,1.101
2020-03-10,1.871,-0.176,-0.545,-0.176,0.031,0.493,-0.063,0.654,-0.604,-1.711,0.179,-0.543,0,0.133,0.095,2.778,0.787,0.576,0,1.46
2020-03-11,-2.133,0.021,-1.789,-4.184,-4.449,-6.373,-0.128,-0.649,-2.939,-0.995,-3.581,-1.529,-4.661,-3.081,-0.119,-3.089,-1.794,-0.151,-0.268,-1.95
2020-03-12,-41.889,-37.17,-42.959,-42.895,-39.567,-46.073,-38.764,-39.542,-42.346,-39.196,-36.174,-38.995,-37.301,-33.632,5.126,-45.418,-40.735,0.315,4.28,-32.899
2020-03-13,12.812,11.928,15.944,11.132,18.68,17.476,12.867,13.514,18.558,21.074,21.048,11.603,4.576,18.211,-4.797,28.467,16.515,-4.512,-3.846,14.12
2020-03-14,-6.371,-6.531,-5.048,-3.797,-8.538,-11.57,-6.105,-6.667,-7.425,-3.072,-8.12,-1.683,-6.321,-5.651,0.037,-10.227,-4.705,-0.389,0,-7.568
2020-03-15,2.959,3.691,6.403,5.709,4.272,-1.402,2.168,4.592,1.541,7.746,5.93,5.108,3.806,2.641,0,-2.532,5.962,-3.767,0,4.488
2020-03-16,-10.057,-7.007,-4.245,-10.866,-11.058,-15.64,-3.452,-8.293,-11.66,-7.19,-9.769,-11.164,-10.333,-8.153,-0.3,-14.935,-7.57,-2.777,-0.14,-8.342
2020-03-17,7.348,4.211,5.617,6.771,4.652,3.371,7.431,2.66,3.011,2.465,2.068,4.583,2.788,4.718,-2.092,2.29,3.389,3.509,-2.84,2.454
2020-03-18,0.397,0.245,-0.688,2,0.368,2.717,2.274,1.036,0.79,0,0.358,1.555,0.362,-2.284,-0.194,1.493,0.496,4.468,-0.012,-0.985
2020-03-19,21.344,18.188,23.552,30.976,20.189,19.048,15.175,17.436,18.939,13.402,16.004,14.421,17.297,15.328,2.643,20.588,17.455,4.348,3.08,15.33
2020-03-20,-3.257,0.123,-3.096,2.565,-3.557,0,-2.71,-3.93,-2.819,-0.606,-2.406,,-3.687,-3.796,-0.244,1.829,-3.617,-0.145,-0.342,-4.95
2020-03-21,1.515,-0.221,2.309,4.597,0.157,0.889,-2.331,3.636,0.06,2.439,0.551,2.567,-0.478,-0.759,0.245,-1.198,-0.151,0.858,0.343,0.836
